Patch;MatchName;MatchId;SummonerName;championName
14.1.547.8890;LOLTMNT99_116973;scrim|BAR G4;BAR WhiteKnight;Renekton
14.1.547.8890;LOLTMNT99_116973;scrim|BAR G4;BAR Sajator;Leblanc
14.1.547.8890;LOLTMNT99_116973;scrim|BAR G4;BAR Pridestalkr;Vi
14.1.547.8890;LOLTMNT99_116973;scrim|BAR G4;BAR Legolas;Varus
14.1.547.8890;LOLTMNT99_116973;scrim|BAR G4;BAR Hustlin;Nautilus
14.1.547.8890;LOLTMNT99_116973;scrim|BAR G4;AEG Agresivoo;Ornn
14.1.547.8890;LOLTMNT99_116973;scrim|BAR G4;AEG Ryuzaki;LeeSin
14.1.547.8890;LOLTMNT99_116973;scrim|BAR G4;AEG Nafkelah;Ahri
14.1.547.8890;LOLTMNT99_116973;scrim|BAR G4;AEG Hid0;Ashe
14.1.547.8890;LOLTMNT99_116973;scrim|BAR G4;AEG Veignorem;Heimerdinger
14.1.547.8890;LOLTMNT99_116895;scrim|BAR G3;AEG Agresivoo;Renekton
14.1.547.8890;LOLTMNT99_116895;scrim|BAR G3;AEG Ryuzaki;Elise
14.1.547.8890;LOLTMNT99_116895;scrim|BAR G3;AEG Nafkelah;Lucian
14.1.547.8890;LOLTMNT99_116895;scrim|BAR G3;AEG Hid0;Kaisa
14.1.547.8890;LOLTMNT99_116895;scrim|BAR G3;AEG Veignorem;Alistar
14.1.547.8890;LOLTMNT99_116895;scrim|BAR G3;BAR WhiteKnight;Ornn
14.1.547.8890;LOLTMNT99_116895;scrim|BAR G3;BAR Sajator;Tristana
14.1.547.8890;LOLTMNT99_116895;scrim|BAR G3;BAR Pridestalkr;Taliyah
14.1.547.8890;LOLTMNT99_116895;scrim|BAR G3;BAR Legolas;Xayah
14.1.547.8890;LOLTMNT99_116895;scrim|BAR G3;BAR Hustlin;Rell
14.1.547.8890;LOLTMNT99_116826;scrims|BAR G2;BAR WhiteKnight;Aatrox
14.1.547.8890;LOLTMNT99_116826;scrims|BAR G2;BAR Sajator;TwistedFate
14.1.547.8890;LOLTMNT99_116826;scrims|BAR G2;BAR Pridestalkr;LeeSin
14.1.547.8890;LOLTMNT99_116826;scrims|BAR G2;BAR Legolas;Varus
14.1.547.8890;LOLTMNT99_116826;scrims|BAR G2;BAR Hustlin;Rakan
14.1.547.8890;LOLTMNT99_116826;scrims|BAR G2;AEG Agresivoo;KSante
14.1.547.8890;LOLTMNT99_116826;scrims|BAR G2;AEG Ryuzaki;Viego
14.1.547.8890;LOLTMNT99_116826;scrims|BAR G2;AEG Nafkelah;Akali
14.1.547.8890;LOLTMNT99_116826;scrims|BAR G2;AEG Hid0;Ashe
14.1.547.8890;LOLTMNT99_116826;scrims|BAR G2;AEG Veignorem;Nautilus
14.1.547.8890;LOLTMNT99_116774;scrim| BAR G1;AEG Agresivoo;KSante
14.1.547.8890;LOLTMNT99_116774;scrim| BAR G1;AEG Ryuzaki;Nocturne
14.1.547.8890;LOLTMNT99_116774;scrim| BAR G1;AEG Nafkelah;Syndra
14.1.547.8890;LOLTMNT99_116774;scrim| BAR G1;AEG Hid0;Caitlyn
14.1.547.8890;LOLTMNT99_116774;scrim| BAR G1;AEG Veignorem;Lux
14.1.547.8890;LOLTMNT99_116774;scrim| BAR G1;BAR WhiteKnight;Malphite
14.1.547.8890;LOLTMNT99_116774;scrim| BAR G1;BAR Sajator;Neeko
14.1.547.8890;LOLTMNT99_116774;scrim| BAR G1;BAR Pridestalkr;LeeSin
14.1.547.8890;LOLTMNT99_116774;scrim| BAR G1;BAR Legolas;Xayah
14.1.547.8890;LOLTMNT99_116774;scrim| BAR G1;BAR Hustlin;Rakan
14.1.547.8890;LOLTMNT99_116334;scrim| game5mck;Z10 Color;Mordekaiser
14.1.547.8890;LOLTMNT99_116334;scrim| game5mck;DP Lotuss;LeeSin
14.1.547.8890;LOLTMNT99_116334;scrim| game5mck;Odi11;Ashe
14.1.547.8890;LOLTMNT99_116334;scrim| game5mck;MCK Click;Thresh
14.1.547.8890;LOLTMNT99_116334;scrim| game5mck;Nano;Leblanc
14.1.547.8890;LOLTMNT99_116334;scrim| game5mck;AEG Agresivoo;Ornn
14.1.547.8890;LOLTMNT99_116334;scrim| game5mck;AEG Ryuzaki;JarvanIV
14.1.547.8890;LOLTMNT99_116334;scrim| game5mck;AEG Nafkelah;Ahri
14.1.547.8890;LOLTMNT99_116334;scrim| game5mck;AEG Hid0;Varus
14.1.547.8890;LOLTMNT99_116334;scrim| game5mck;AEG Veignorem;Karma
14.1.547.8890;LOLTMNT99_116258;scrim| game4mck;AEG Agresivoo;KSante
